phenotype	taxon	Nsamples	effect.size	R2	F.stat	Pvalue	padj
Biofuel_exposure	ARG176	1111	-0.10548	0.001914171	2.19910913	0.1383767	1
Biofuel_exposure	ARG446	1111	0.08985	0.001391946	1.665093953	0.197187875	1
year2pm25	ARG446	1112	-0.05788	0.001348304	1.614437736	0.204137285	1
year2pm25	ARG302	1112	0.05322	0.001147811	1.386492516	0.239252561	1
FEV1pred_post	ARG182	1108	0.00221	0.001174867	1.319052449	0.251012318	1
CAT_score	ARG450	1112	-0.00726	0.001104121	1.243430064	0.265054133	1
CAT_score	ARG154	1112	-0.00677	0.000965268	1.185461027	0.276485083	1
Smoking_binary	ARG487	1112	-0.08105	0.000718667	0.805018582	0.369793087	1
Smoking_binary	ARG464	1112	0.07597	0.000637879	0.729437816	0.393251091	1
Occupational_pollution	ARG167	1112	-0.0521	0.000592475	0.723028745	0.395336924	1
CAT_score	ARG200	1112	-0.00512	0.000556307	0.673147668	0.412133766	1
Smoking_binary	ARG176	1112	-0.06955	0.000536326	0.615851396	0.432761789	1
SHS_binary	ARG448	1112	0.04781	0.000469126	0.546495237	0.459910717	1
SHS_binary	ARG446	1112	0.04673	0.000449214	0.537356267	0.463686343	1
year2pm25	ARG487	1112	0.03479	0.000479669	0.537173006	0.463762559	1
year2pm25	ARG448	1112	0.03239	0.000421404	0.490878858	0.483683425	1
CAT_score	ARG167	1112	-0.0042	0.000372198	0.45410299	0.500534238	1
CAT_score	ARG176	1112	0.00418	0.000368602	0.423183496	0.515488401	1
Occupational_pollution	ARG200	1112	-0.03724	0.000303715	0.367401733	0.544548793	1
Occupational_pollution	ARG302	1112	0.03694	0.00030022	0.362313179	0.547348169	1
SHS_binary	ARG154	1112	-0.0273	0.000152913	0.18762549	0.66498506	1
SHS_binary	ARG464	1112	0.02425	0.000120332	0.137530507	0.710819746	1
Occupational_pollution	ARG182	1112	-0.02271	0.000111991	0.125995186	0.722688972	1
Biofuel_exposure	ARG302	1111	-0.02419	0.000101607	0.122480582	0.726426452	1
CAT_score	ARG182	1112	0.00215	9.67E-05	0.108785042	0.741594294	1
Biofuel_exposure	ARG200	1111	0.02039	7.18E-05	0.086772595	0.768376473	1
year2pm25	ARG182	1112	0.0136	7.40E-05	0.083250157	0.77299454	1
SHS_binary	ARG200	1112	-0.01518	4.75E-05	0.057472544	0.81058081	1
Biofuel_exposure	ARG450	1111	-0.01651	4.66E-05	0.052428099	0.818933335	1
FEV1pred_post	ARG297	1108	0.00044	4.54E-05	0.051477167	0.820554776	1
SHS_binary	ARG182	1112	-0.01415	4.09E-05	0.046054955	0.830115638	1
CAT_score	ARG302	1112	0.00125	3.34E-05	0.040291803	0.840948162	1
CAT_score	ARG446	1112	-0.00108	2.46E-05	0.029427134	0.863828012	1
year2pm25	ARG176	1112	-0.00759	2.32E-05	0.026571842	0.870541457	1
Biofuel_exposure	ARG167	1111	0.00978	1.65E-05	0.020061022	0.887392701	1
SHS_binary	ARG167	1112	0.00889	1.63E-05	0.019819877	0.888067035	1
year2pm25	ARG464	1112	0.00653	1.70E-05	0.019484242	0.889012637	1
Occupational_pollution	ARG448	1112	-0.00748	1.22E-05	0.014198441	0.905172524	1
Biofuel_exposure	ARG448	1111	0.00504	4.37E-06	0.005083082	0.943175335	1
SHS_binary	ARG487	1112	-0.00438	3.89E-06	0.004349495	0.947429037	1
year2pm25	ARG450	1112	-0.00295	3.49E-06	0.003921416	0.950079495	1
CAT_score	ARG448	1112	-0.00033	2.32E-06	0.002696698	0.958594085	1
CAT_score	ARG487	1112	-0.00032	2.14E-06	0.002399105	0.960943587	1
Occupational_pollution	ARG487	1112	0.00291	1.82E-06	0.002036603	0.964012874	1
Biofuel_exposure	ARG154	1111	-0.00251	1.09E-06	0.001332892	0.97088329	1
SHS_binary	ARG302	1112	-0.00178	6.54E-07	0.000788496	0.9776033	1
Occupational_pollution	ARG154	1112	-0.00071	1.09E-07	0.000133319	0.990789616	1
Occupational_pollution	ARG446	1112	0.00014	4.45E-09	5.32E-06	0.998159484	1
