phenotype	taxon	Nsamples	effect.size	R2	F.stat	Pvalue	padj
FEV1pred_post	M00083	1108	6.29739	0.004839162	5.601386365	0.018119023	1
Occupational_pollution	M00242	1112	355.3033	0.004906164	5.578828307	0.01835201	1
Smoking_binary	M00519	1112	-518.80711	0.004419273	5.038436354	0.024988632	1
A_FEV1_FVC_Post	M00242	1108	22.30968	0.004439589	5.026182724	0.025165935	1
Occupational_pollution	map00040	1112	144.13596	0.004036362	4.788554	0.028858856	1
A_FEV1_FVC_Post	M00166	1108	15.31345	0.004039007	4.782650419	0.028958268	1
Occupational_pollution	M00216	1112	-121.90971	0.004164513	4.676313429	0.030795912	1
year2pm25	M00166	1112	168.37512	0.003919558	4.651912173	0.03123471	1
SHS_binary	M00008	1112	242.61527	0.003918224	4.573829058	0.032683274	1
CAT_score	M00216	1112	12.21984	0.004047039	4.543857878	0.033257787	1
FEV1pred_post	map00040	1108	-4.12002	0.003652019	4.324638088	0.037795996	1
SHS_binary	M00018	1112	217.29555	0.003649523	4.155327268	0.041742074	1
year2pm25	M00029	1112	181.97564	0.00348027	4.09085776	0.043356906	1
Occupational_pollution	map00630	1112	-127.03112	0.003280547	3.982922566	0.046209549	1
CAT_score	M00018	1112	20.94998	0.003485223	3.967583423	0.046630749	1
SHS_binary	M00083	1112	181.08437	0.003407277	3.951370408	0.047080354	1
Biofuel_exposure	M00519	1111	341.16352	0.002968025	3.375414066	0.066445333	1
Smoking_binary	M00242	1112	378.27405	0.002827566	3.20836134	0.073537168	1
FEV1pred_post	M00216	1108	-2.57167	0.002048144	2.286215351	0.130815607	1
year2pm25	map00630	1112	-64.53781	0.001559706	1.890060771	0.16947453	1
SHS_binary	M00029	1112	156.29634	0.001312155	1.53880417	0.215059928	1
CAT_score	M00166	1112	12.72573	0.001175647	1.391200715	0.238457003	1
Smoking_binary	M00018	1112	-169.68918	0.001202014	1.365154182	0.242898909	1
CAT_score	map00040	1112	7.44401	0.001041305	1.231386401	0.267379674	1
Biofuel_exposure	map00040	1111	69.0177	0.000731093	0.863119307	0.35307088	1
year2pm25	M00519	1112	109.74337	0.000716354	0.813602225	0.367254489	1
Biofuel_exposure	M00083	1111	84.45125	0.000621464	0.718260968	0.396899127	1
Occupational_pollution	M00166	1112	89.70956	0.000604046	0.714359359	0.398183862	1
CAT_score	M00008	1112	9.23564	0.000583333	0.678540045	0.410268142	1
SHS_binary	M00166	1112	83.43003	0.000491844	0.581595772	0.445850713	1
Biofuel_exposure	M00008	1111	92.08585	0.000473147	0.549774198	0.458568094	1
Biofuel_exposure	M00018	1111	84.88111	0.000466714	0.529205111	0.467095899	1
Biofuel_exposure	M00029	1111	98.80682	0.000439514	0.514458463	0.473367302	1
SHS_binary	M00216	1112	-41.73549	0.000459503	0.51403294	0.473550146	1
Occupational_pollution	M00008	1112	77.47532	0.000424415	0.493601678	0.482473438	1
CAT_score	M00519	1112	11.42629	0.000407767	0.462975572	0.496379534	1
CAT_score	M00496	1112	10.3218	0.000356433	0.4062061	0.524033834	1
year2pm25	map00040	1112	-29.44946	0.000310376	0.366744972	0.544908604	1
CAT_score	M00029	1112	7.30276	0.0002943	0.344761703	0.557213762	1
CAT_score	map00630	1112	-3.37104	0.000223446	0.270375835	0.603184204	1
year2pm25	M00496	1112	57.92805	0.000213803	0.243623304	0.621699687	1
Occupational_pollution	M00029	1112	-59.41466	0.000201412	0.235923136	0.62726283	1
year2pm25	M00216	1112	20.04951	0.000207484	0.232046735	0.630105987	1
year2pm25	M00242	1112	49.7294	0.000177035	0.200329649	0.65454286	1
SHS_binary	M00519	1112	-75.36771	0.00017268	0.196012589	0.658045692	1
SHS_binary	map00040	1112	-28.54313	0.000149018	0.176051047	0.674870888	1
Occupational_pollution	M00083	1112	-33.1542	0.00012132	0.14020846	0.708145902	1
Biofuel_exposure	M00496	1111	65.81898	0.000118366	0.134789832	0.713587123	1
year2pm25	M00083	1112	-23.19139	0.000109345	0.126367037	0.722296995	1
SHS_binary	M00496	1112	56.02675	0.000102218	0.116461615	0.732969355	1
Biofuel_exposure	M00166	1111	37.66198	8.42E-05	0.099544422	0.752436825	1
Occupational_pollution	M00018	1112	29.57965	7.18E-05	0.081488783	0.775343549	1
CAT_score	M00242	1112	4.07535	6.24E-05	0.070636426	0.790462101	1
year2pm25	M00008	1112	20.06805	5.25E-05	0.060978731	0.805001645	1
SHS_binary	map00630	1112	-12.65198	3.06E-05	0.037062601	0.847373119	1
year2pm25	M00018	1112	-11.6856	2.07E-05	0.023424981	0.878385117	1
Biofuel_exposure	M00216	1111	-8.99303	1.79E-05	0.019975299	0.887631946	1
Biofuel_exposure	M00242	1111	22.94188	1.62E-05	0.018256681	0.892543841	1
CAT_score	M00083	1112	-1.09719	1.29E-05	0.014850064	0.903031449	1
Biofuel_exposure	map00630	1111	6.76954	7.36E-06	0.008900369	0.924854837	1
