phenotype	taxon	Nsamples	effect.size	R2	F.stat	Pvalue	padj
Occupational_pollution	Capnocytophaga	1626	0.0692	0.001038647	1.836169979	0.175589896	1
Occupational_pollution	Staphylococcus	1626	0.07027	0.001063675	1.75836622	0.185015821	1
Occupational_pollution	Anaerovorax	1626	-0.06624	0.00094626	1.609529254	0.204740702	1
Occupational_pollution	Acinetobacter	1626	0.03692	0.00058935	1.010934359	0.314829625	1
Occupational_pollution	Clostridiales	1626	-0.04495	0.00043918	0.815086067	0.366755362	1
Occupational_pollution	Neisseriaceae	1626	0.04352	0.000415762	0.725376649	0.394512106	1
Occupational_pollution	Parvimonas	1626	0.0353	0.000277589	0.473296651	0.491573186	1
Occupational_pollution	Peptococcus	1626	0.03228	0.000229455	0.407415425	0.523374697	1
Occupational_pollution	SR1	1626	0.02844	0.000175054	0.311258847	0.57698601	1
Occupational_pollution	Actinomyces	1626	0.02664	0.000154791	0.273826266	0.600848297	1
Occupational_pollution	Granulicatella	1626	-0.02668	0.000153804	0.255499806	0.613297777	1
Occupational_pollution	Campylobacter	1626	-0.01009	2.27E-05	0.040304341	0.840911965	1
Occupational_pollution	Lachnospiraceae	1626	-0.00546	6.55E-06	0.011214542	0.915675842	1
Occupational_pollution	Peptostreptococcaceae	1626	-0.00264	1.53E-06	0.002589973	0.959418049	1
SHS_binary	Lachnospiraceae	1626	-0.10971	0.002472897	4.247157265	0.039475796	1
SHS_binary	Peptococcus	1626	-0.08089	0.001347466	2.39547827	0.121882331	1
SHS_binary	Campylobacter	1626	-0.07871	0.001294407	2.297479206	0.129779724	1
SHS_binary	Neisseriaceae	1626	-0.07703	0.001217926	2.126749568	0.144941734	1
SHS_binary	Acinetobacter	1626	0.0451	0.000822459	1.411143667	0.235041193	1
SHS_binary	Parvimonas	1626	0.05073	0.000535856	0.913898195	0.339225209	1
SHS_binary	Anaerovorax	1626	-0.04898	0.000483741	0.822413422	0.364610684	1
SHS_binary	Staphylococcus	1626	-0.04666	0.000438561	0.724523891	0.394790097	1
SHS_binary	Capnocytophaga	1626	-0.0424	0.000364687	0.644236721	0.422298795	1
SHS_binary	SR1	1626	-0.03985	0.000321525	0.571788289	0.449659385	1
SHS_binary	Peptostreptococcaceae	1626	-0.03422	0.000239978	0.407469798	0.523346985	1
SHS_binary	Actinomyces	1626	0.01396	3.98E-05	0.070332162	0.79088759	1
SHS_binary	Granulicatella	1626	0.0049	4.86E-06	0.008068491	0.928437587	1
SHS_binary	Clostridiales	1626	-0.0018	6.59E-07	0.00122296	0.972107305	1
Smoking_binary	Campylobacter	1626	0.1541	0.002912574	5.178812909	0.022994333	1
Smoking_binary	Staphylococcus	1626	-0.14979	0.002653108	4.393010666	0.036241745	1
Smoking_binary	Granulicatella	1626	0.1397	0.002314431	3.853309986	0.049819223	1
Smoking_binary	SR1	1626	-0.04774	0.000270868	0.481674909	0.487764382	1
Smoking_binary	Lachnospiraceae	1626	-0.01918	4.44E-05	0.076013978	0.782808887	1
year2pm25	Parvimonas	1626	-0.09204	0.003482109	5.957232851	0.014763778	1
year2pm25	Campylobacter	1626	0.08219	0.002785128	4.95150738	0.026205505	1
year2pm25	Lachnospiraceae	1626	0.05741	0.00133667	2.292937416	0.130159306	1
year2pm25	Capnocytophaga	1626	0.04037	0.000652433	1.15291425	0.283100228	1
year2pm25	Acinetobacter	1626	-0.02663	0.000565904	0.970692294	0.324655069	1
year2pm25	Peptostreptococcaceae	1626	-0.03317	0.000444905	0.755587481	0.38484203	1
year2pm25	Peptococcus	1626	-0.02872	0.000335117	0.595097351	0.440567529	1
year2pm25	Clostridiales	1626	-0.0225	0.000203097	0.376831077	0.53939049	1
year2pm25	Granulicatella	1626	-0.01082	4.66E-05	0.077452008	0.780816138	1
year2pm25	Anaerovorax	1626	0.01051	4.40E-05	0.07474024	0.784590976	1
